Scientific_Name,en_uk,fr,es,nl,no
Abroscopus albogularis,Rufous-faced Warbler,Bouscarle à moustaches,Mosquitero Carirrufo,Roodwangboszanger,rustmaskesanger
Abroscopus schisticeps,Black-faced Warbler,Bouscarle à face noire,Mosquitero Carinegro,Zwartmaskerboszanger,svartmaskesanger
Abroscopus superciliaris,Yellow-bellied Warbler,Bouscarle à sourcils blancs,Mosquitero Cejiblanco,Bamboeboszanger,hvitbrynsanger
Aburria aburri,Wattled Guan,Pénélope aburri,Pava Aburria,Lelgoean,gulflikhokko
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Méliphage à bavette,Mielero Golicanelo,Goudkeelhoningeter,rosennebbhonningeter
Acanthidops bairdi,Peg-billed Finch,Bec-en-cheville gris,Yal Costarricense,Wigsnavelgors,spissnebbspurv
Acanthis cabaret,Lesser Redpoll,Sizerin cabaret,Pardillo Alpino,Kleine Barmsijs,brunsisik
Acanthis flammea,Common Redpoll,Sizerin flammé,Pardillo Norteño,Grote Barmsijs,gråsisik
Acanthis hornemanni,Arctic Redpoll,Sizerin blanchâtre,Pardillo Ártico,Witstuitbarmsijs,polarsisik
Acanthisitta chloris,Rifleman,Xénique grimpeur,Acantisita Verdoso,Geweervogel,skogklatresmett
Acanthiza apicalis,Inland Thornbill,Acanthize troglodyte,Acantiza Apical,Roodstuitdoornsnavel,krattornsmett
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthize à croupion jaune,Acantiza Culigualda,Geelstuitdoornsnavel,gulgumptornsmett
Acanthiza ewingii,Tasmanian Thornbill,Acanthize de Tasmanie,Acantiza de Tasmania,Tasmaanse Doornsnavel,tasmantornsmett
Acanthiza inornata,Western Thornbill,Acanthize sobre,Acantiza Sencilla,Kaap-Leeuwindoornsnavel,vesttornsmett
Acanthiza lineata,Striated Thornbill,Acanthize ridé,Acantiza Estriada,Twijgdoornsnavel,stripetornsmett
Acanthiza nana,Yellow Thornbill,Acanthize nain,Acantiza Enana,Gele Doornsnavel,gultornsmett
Acanthiza pusilla,Brown Thornbill,Acanthize mignon,Acantiza Parda,Bruine Doornsnavel,bruntornsmett
Acanthiza reguloides,Buff-rumped Thornbill,Acanthize à croupion beige,Acantiza Reguloide,Vaalstuitdoornsnavel,okergumptornsmett
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthize à croupion roux,Acantiza Culirroja,Roodstaartdoornsnavel,kastanjegumptornsmett
Acanthorhynchus superciliosus,Western Spinebill,Méliphage festonné,Picoespina Occidental,Roesthalshoningvogel,trikolorhonningeter
Acanthorhynchus tenuirostris,Eastern Spinebill,Méliphage à bec grêle,Picoespina Oriental,Zwarthalshoningvogel,prydhonningeter
Accipiter badius,Shikra,Épervier shikra,Gavilán Chikra,Shikra,shikrahauk
Accipiter bicolor,Bicoloured Hawk,Épervier bicolore,Gavilán Bicolor,Roodbroeksperwer,indianerhauk
Accipiter cirrocephalus,Collared Sparrowhawk,Épervier à collier roux,Gavilán Acollarado,Grijskopsperwer,eukalyptushauk
Accipiter cooperii,Cooper's Hawk,Épervier de Cooper,Gavilán de Cooper,Coopers Sperwer,trostehauk
Accipiter fasciatus,Brown Goshawk,Autour australien,Azor Australiano,Australische Havik,bendelhauk
Accipiter gentilis,Eurasian Goshawk,Autour des palombes,Azor Común,Havik,hønsehauk
Accipiter gularis,Japanese Sparrowhawk,Épervier du Japon,Gavilán Japonés,Kleine Sperwer,finkehauk
Accipiter hiogaster,Variable Goshawk,Autour variable,Azor Variable,Grijs-rode Havik,protevshauk
Accipiter melanoleucus,Black Goshawk,Autour noir,Azor Blanquinegro,Zwarte Havik,nonnehauk
Accipiter minullus,Little Sparrowhawk,Épervier minule,Gavilán Chico,Oost-Afrikaanse Dwergsperwer,dverghauk
Accipiter nisus,Eurasian Sparrowhawk,Épervier d'Europe,Gavilán Común,Sperwer,spurvehauk
Accipiter novaehollandiae,Grey Goshawk,Autour blanc,Azor Gris,Grijze Havik,askehauk
Accipiter poliogaster,Grey-bellied Hawk,Autour à ventre gris,Azor Ventrigrís,Zuid-Amerikaanse Havik,gråbukhauk
Accipiter soloensis,Chinese Sparrowhawk,Épervier de Horsfield,Gavilán Ranero,Chinese Sperwer,froskehauk
Accipiter striatus,Sharp-shinned Hawk,Épervier brun,Gavilán Americano,Amerikaanse Sperwer,tverrhalehauk
Accipiter superciliosus,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk
Accipiter tachiro,African Goshawk,Autour tachiro,Azor Tachiro,Afrikaanse Havik,bantuhauk
Accipiter trinotatus,Spot-tailed Goshawk,Épervier à queue tachetée,Gavilán Colipinto,Vlekstaartsperwer,flekkhalehauk
Accipiter trivirgatus,Crested Goshawk,Autour huppé,Azor Moñudo,Kuifhavik,topphauk
Accipiter virgatus,Besra,Épervier besra,Gavilán Besra,Besrasperwer,besrahauk
Aceros nipalensis,Rufous-necked Hornbill,Calao à cou roux,Cálao del Nepal,Himalayajaarvogel,rødhalshornfugl
